path	bytes	sha256	what_it_proves
data/adjusted_bhavcopy_max_2007_2026.parquet	68061592	d83ad78e162661fdd8ca54247c125783104d6912eaab34530ba641802b7b21e7	Certified maximum Bhavcopy ground-truth dataset (2007-2026, 2,137,630 bars across 1,039 symbols)
data/benchmarks/NIFTY_100.csv	2634026	9147fae2780714f3d9d2e63f2f0a4eb8adec01fe2a1f3f6fa202f731422e460b	Official NIFTY 100 index daily historical series providing pre-2007 warmup coverage
data/benchmarks/NIFTY_50.csv	2364196	bf00de40908f09ae0da59334dca438f20987a38616e6ea4b1a34954325afdd91	Official NIFTY 50 index daily historical series
data/symbol_map.parquet	100724	014e2d9401645c406ea91193f8d45528593693298c0ea301ad53dfcdec77f885	Point-in-time symbol mapping table providing active constituent resolution (1,614 scrips)
data/verification/survivorship_graveyard.csv	326328	bfe1e11b47d9056db7d6aaa41f04b3e6d6aeb468c4a7869153483b330fe7488e	Audited survivorship graveyard register containing 1,209 vanished / delisted equities
deliverables/phase_7/DIGEST.md	12844	740a8ccfd6a15f7d0fe41cd6598421da8dd73a0a47dc7b78673e0fc48f0d5a55	Phase 7A Executive Digest and verification tearsheet across Gates 1 to 10
deliverables/phase_7/DIGEST_PHASE_7B.md	12651	801503e5a916cc78d369a9063377ac6377ac445343dbab50a89aea56cfe2a5ed	Phase 7B Executive Digest and verification tearsheet across Gates 11 to 16
deliverables/phase_7/DIGEST_PHASE_7C.md	19138	ffefbf42348390fd9a0468cc14de0b6432c539b4b577ee03ea982236f87b91f4	Phase 7C Executive Digest and verification tearsheet across Gates 17 to 25 (Macro Regimes, Monte Carlo, Risk Decomposition, Expectancy & Statistical Significance)
deliverables/phase_7/DIGEST_PHASE_7D.md	15550	00f9a98351b9da63256cda05d8579b7cb76b0cd97a054d9568eaf7c4c1edc4ac	Phase 7D Executive Digest and verification tearsheet for Gates 26-32 and is_proven ruling
deliverables/phase_7/NEXT_TASK.md	10276	b3e88cc0af7067a9bcbc7e4b65ad7a6891a9c024f60f7601d94f0512ccb6248f	Phase 7 active directive specifying the 32-Gate Institutional Framework and Phase 7A roadmap
deliverables/phase_7/PHASE_7A_RULING.md	5898	2a4810d75db189a2947ae8cdea1a65c6827ee4440777c8bb8f09f21504ad509b	Final Auditor Ruling formally accepting Gates 1-10 and clearing Standing Gate HALT-8A
deliverables/phase_7/PHASE_7B_RULING.md	6003	0c63f66c1f64e075b8b58419961c15b425409a9c296def7dd58f8b105a7ea618	Final Auditor Ruling formally accepting Gates 11-16 and clearing Standing Gate HALT-8B
deliverables/phase_7/PHASE_7C_RULING.md	7427	ba97038a3a83ce92c066ee4a9f69a7129434a4a809060b1eb80efcf28cf17481	Final Auditor Ruling formally accepting Gates 17-25 and clearing Standing Gate HALT-8C
deliverables/phase_7/PHASE_7D_RULING.md	8150	64899ebbdb7f6d5fe6efcc16bf30d30ccbefa19d706b65359721d261d59316ae	Artifact supporting Phase 7 institutional verification
deliverables/phase_7/data_csv/daily_equity_curves.csv	267218	16b3bf389c2c7e581960f4764e984fd2d12d0e09f734cb6949d7887cbce39194	Standardized daily equity curves, cash balances, invested capital, benchmark values, and drawdowns (2,636 days)
deliverables/phase_7/data_csv/gate11_is_oos_results.csv	448	085d74cad4dc0cbda9242d2ac5295513d30d088e0630871339c6d6054fbc6119	In-Sample (2007-2015) vs Out-of-Sample (2016-2026) split performance audit proving temporal generalizability (Gate 11)
deliverables/phase_7/data_csv/gate12_walk_forward_matrix.csv	1584	a981fe638c43dc23a70c3e00ea6bf22edb5696dc82c3873b818b9cd1c56cd702	14-year rolling walk-forward test matrix (5y rolling train / 1y forward test) proving 71.4% win rate over benchmark (Gate 12)
deliverables/phase_7/data_csv/gate13_paper_trading_calibration.csv	439	4511d0357cb90d07d6dcd2822cb884d179be39af788e33c6f82518c969275ae1	12-month forward simulated paper trading calibration (2025-2026) proving execution tracking error and drag ratio (Gate 13)
deliverables/phase_7/data_csv/gate14_parameter_plateau_grid.csv	4674	7fecb0230e66b1045fca7276a19bd8e67590f54ae453a1564ae5543cdc616151	54-combination multi-dimensional parameter plateau grid proving broad alpha stability without cliff-edges (Gate 14)
deliverables/phase_7/data_csv/gate15_rebalance_date_sensitivity.csv	558	cbb0cff425a327b698ba512a55c7ae20f947db3935405d2d6aef537904085eed	Rebalance-date sensitivity across 5 monthly execution schedules proving calendar anomaly invariance (Gate 15)
deliverables/phase_7/data_csv/gate16_universe_sensitivity.csv	548	bac18365223af3f53d3f4a6da4c4aff864531cda685e911d61ea5f9d51a75ba5	Universe breadth sensitivity across NIFTY 50, Next 50, Midcap 150, Smallcap 250, and 500 (Gate 16)
deliverables/phase_7/data_csv/gate17_macro_regimes.csv	1276	4bbd64147f2077a99862fcb47e052dbaeb40ac3662aad0992bf4545c8a09e3f0	Quantitative performance and drawdown tearsheet across 6 distinct Indian macroeconomic regimes (Gate 17)
deliverables/phase_7/data_csv/gate18_random_monte_carlo.csv	503	03201b69dd4756299309593084dced427bb989b4373b48aaa13b1060a5c811f6	1,000-run random top-20 portfolio selection Monte Carlo control proving alpha distinct from random luck (Gate 18)
deliverables/phase_7/data_csv/gate21_drawdown_episodes.csv	7792	8f73938eeacab4f9d3bbdfd9e7920a12c75f67def27fdbb92d7089c47d792c84	Non-parametric daily underwater analysis detailing all 81 discrete drawdown episodes and recovery durations (Gate 21)
deliverables/phase_7/data_csv/gate22_closed_trades_itemized.csv	53697	46069b7687475bd73391b9aa08a57e2560f44e319532f9100e8e70a9c3f2f3c8	Itemized ledger of all 557 closed round-trip trades with entry/exit dates, prices, friction costs, and realized PnL (Gate 22)
deliverables/phase_7/data_csv/gate22_trade_statistics.csv	985	5a6eadf3500a64b265211dc6005e1a9a15f63b35c4272875121f8d9c5467f7a3	Aggregate trade statistics, win rate, profit factor, win/loss payoff ratio, and mathematical expectancy (Gate 22)
deliverables/phase_7/data_csv/gate26_component_attribution.csv	1436	4c1a7c0df89d8251a0fea315913573a782364abbda0bd8068bf6a886c1a68225	Empirical component attribution and 5-step ablation study verifying non-redundant value-add (Gate 26)
deliverables/phase_7/data_csv/gate31_capacity_liquidity.csv	875	b6e5fda31ba2e63f78e0c245acc1a72be5ac3c0e1ed75f416dd2b0002f350465	Portfolio capacity, order ADV distribution, and institutional liquidity constraints across AUM tiers (Gate 31)
deliverables/phase_7/data_csv/gate32_etf_variant.csv	311	29effe1cf55b0275ef77e3a63741ad61166f918feedf99f6f3a48f5c46dad45d	Multi-asset ETF basket momentum rotation variant evaluation vs NIFTY 50 (Gate 32)
